Name,Date,Body weight,Shape,Sleep,Calories,Stress
JP - Block 5: Week 3, Workout 4",2025-01-12,84.6,7,7,6,5
"Exercise, Deadlift",Set,1,reps,2,weight,190
Instance of 'Loc'
"Exercise, Deadlift",Set,2,reps,2,weight,205
Instance of 'Loc'
"Exercise, Deadlift",Set,3,reps,8,weight,157.5
Instance of 'Loc'
"Exercise, Leg Press",Set,1,reps,6,weight,185
Instance of 'Loc'
"Exercise, Leg Press",Set,2,reps,10,weight,145
Instance of 'Loc'
"Exercise, Leg Press",Set,3,reps,9,weight,145
Instance of 'Loc'
"Exercise, Standing Calf Raise",Set,1,reps,14,weight,240
Instance of 'Loc'
"Exercise, Standing Calf Raise",Set,2,reps,13,weight,240
"Exercise, Standing Calf Raise",Set,3,reps,12,weight,240
"Exercise, Seated Leg Curl",Set,1,reps,12,weight,73
Instance of 'Loc'
"Exercise, Seated Leg Curl",Set,2,reps,10,weight,73
"Exercise, Seated Leg Curl",Set,3,reps,8,weight,73
"Exercise, Cable Y-Raise",Set,1,reps,16,weight,10
Instance of 'Loc'
"Exercise, Cable Y-Raise",Set,2,reps,12,weight,10
"Exercise, Cable Y-Raise",Set,3,reps,11,weight,10
"Exercise, Hack Squat Sissy Squat ",Set,1,reps,12,weight,10
Instance of 'Loc'
"Exercise, Hack Squat Sissy Squat ",Set,2,reps,11,weight,10
"Exercise, Hack Squat Sissy Squat ",Set,3,reps,10,weight,10
"Exercise, Low to High Cable Fly ",Set,1,reps,13,weight,25
Instance of 'Loc'
"Exercise, Low to High Cable Fly ",Set,2,reps,11,weight,25
"Exercise, Low to High Cable Fly ",Set,3,reps,10,weight,25

"JP - Block 5: Week 3, Workout 1",2025-01-11,84.6,7,-1,-1,-1
"Exercise, Dumbbell Chest Press",Set,1,reps,9,weight,50
Instance of 'Loc'
"Exercise, Dumbbell Chest Press",Set,2,reps,6,weight,50
Instance of 'Loc'
"Exercise, Dumbbell Chest Press",Set,3,reps,11,weight,35
Instance of 'Loc'
"Exercise, Chin-Up",Set,1,reps,7,bodyweight,84.6,extraWeight,18
Instance of 'Loc'
"Exercise, Chin-Up",Set,2,reps,6,bodyweight,84.6,extraWeight,18
Instance of 'Loc'
"Exercise, Chin-Up",Set,3,reps,8,bodyweight,84.6,extraWeight,8
Instance of 'Loc'
"Exercise, Smith Machine Incline Bench Press",Set,1,reps,8,weight,60
Instance of 'Loc'
"Exercise, Smith Machine Incline Bench Press",Set,2,reps,10,weight,60
"Exercise, Smith Machine Incline Bench Press",Set,3,reps,9,weight,60
"Exercise, Cable Flexion Row",Set,1,reps,12,weight,65
Instance of 'Loc'
"Exercise, Cable Flexion Row",Set,2,reps,11,weight,65
"Exercise, Cable Flexion Row",Set,3,reps,10,weight,65
"Exercise, Machine Tricep Press",Set,1,reps,14,weight,70
Instance of 'Loc'
"Exercise, Machine Tricep Press",Set,2,reps,13,weight,70
"Exercise, Machine Tricep Press",Set,3,reps,11,weight,70
"Exercise, Machine Tricep Press",Set,4,reps,10,weight,70
"Exercise, Cable Curl With Bar",Set,1,reps,12,weight,40
Instance of 'Loc'
"Exercise, Cable Curl With Bar",Set,2,reps,11,weight,40
"Exercise, Cable Curl With Bar",Set,3,reps,10,weight,40
"Exercise, Cable Curl With Bar",Set,4,reps,9,weight,40
"Exercise, Lean In Single Arm DB Lateral Raise",Set,1,reps,12,weight,6
Instance of 'Loc'
"Exercise, Lean In Single Arm DB Lateral Raise",Set,2,reps,11,weight,6
"Exercise, Lean In Single Arm DB Lateral Raise",Set,3,reps,10,weight,6
"Exercise, Machine Crunch",Set,1,reps,15,weight,25.5
Instance of 'Loc'
"Exercise, Machine Crunch",Set,2,reps,14,weight,25.5
"Exercise, Machine Crunch",Set,3,reps,12,weight,25.5

"JP - Block 5: Week 3, Workout 2",2025-01-08,85.4,6,-1,-1,-1
"Exercise, High bar squat",Set,1,reps,7,weight,125
Instance of 'Loc'
"Exercise, High bar squat",Set,2,reps,7,weight,130
Instance of 'Loc'
"Exercise, Smith Machine Squat",Set,1,reps,9,weight,85
Instance of 'Loc'
"Exercise, Smith Machine Squat",Set,2,reps,8,weight,85
"Exercise, Leg Press Calf Raise (Cable)",Set,1,reps,13,weight,90
Instance of 'Loc'
"Exercise, Leg Press Calf Raise (Cable)",Set,2,reps,11,weight,90
"Exercise, Leg Press Calf Raise (Cable)",Set,3,reps,10,weight,90
"Exercise, Romanian Deadlift",Set,1,reps,6,weight,150
Instance of 'Loc'
"Exercise, Romanian Deadlift",Set,2,reps,11,weight,112.5
Instance of 'Loc'
"Exercise, Romanian Deadlift",Set,3,reps,8,weight,112.5
Instance of 'Loc'
"Exercise, Leg Extension",Set,1,reps,11,weight,75
Instance of 'Loc'
"Exercise, Leg Extension",Set,2,reps,11,weight,75
